-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 03/08/2019 through 11/08/2020 in LST
Location: Latitude  51.0662   Longitude -114.0936 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1289.78 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN      CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
CLRSKY_SFC_SW_DWN      CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
ALLSKY_SFC_SW_DNI      CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (Wh/m^2) 
ALLSKY_SFC_SW_DIFF     CERES SYN1deg All Sky Surface Shortwave Diffuse Irradiance (Wh/m^2) 
T2M                    MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                 MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                 MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
RH2M                   MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR            MERRA-2 Precipitation Corrected (mm/hour) 
WS10M                  MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M                  MERRA-2 Wind Direction at 10 Meters (Degrees) 
CLOUD_AMT              CERES SYN1deg Cloud Amount (%) 
ALLSKY_KT              CERES SYN1deg All Sky Insolation Clearness Index (dimensionless) 
ALLSKY_SRF_ALB         CERES SYN1deg All Sky Surface Albedo (dimensionless) 
PS                     MERRA-2 Surface Pressure (kPa) 
ALLSKY_SFC_PAR_TOT     CERES SYN1deg All Sky Surface Total PAR (Wh/m^2) 
CLRSKY_SFC_PAR_TOT     CERES SYN1deg Clear Sky Surface Total PAR (Wh/m^2) 
QV2M                   MERRA-2 Specific Humidity at 2 Meters (g/kg) 
SZA                    CERES SYN1deg Solar Zenith Angle (Degrees) 
ALLSKY_SFC_UVA         CERES SYN1deg All Sky Surface UVA Irradiance (Wh/m^2) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DNI,ALLSKY_SFC_SW_DIFF,T2M,T2MDEW,T2MWET,RH2M,PRECTOTCORR,WS10M,WD10M,CLOUD_AMT,ALLSKY_KT,ALLSKY_SRF_ALB,PS,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,QV2M,SZA,ALLSKY_SFC_UVA
2019,5,17,3,0.0,0.0,0.0,0.0,0.86,0.12,0.49,94.71,4.18,1.81,100.5,99.45,-999.0,-999.0,86.53,0.0,0.0,4.44,90.0,0.0
2019,5,17,4,17.33,40.6,0.0,16.91,1.11,0.08,0.6,92.79,3.14,1.85,108.2,100.0,0.15,0.16,86.52,7.5,15.73,4.43,84.97,1.07
2019,5,17,5,41.65,164.8,0.65,36.48,1.93,0.16,1.04,87.88,2.84,1.98,113.8,100.0,0.13,0.15,86.52,19.92,66.55,4.45,76.25,2.94
2019,5,17,6,53.4,329.55,1.21,46.41,3.08,0.23,1.65,81.35,3.88,2.48,120.3,100.0,0.1,0.15,86.53,27.2,138.7,4.47,67.04,4.14
2019,5,17,7,80.9,502.8,2.8,70.09,4.3,0.27,2.29,75.0,4.3,3.03,117.5,100.0,0.11,0.15,86.56,41.72,216.83,4.49,57.76,6.43
2019,5,17,8,146.6,659.3,0.0,123.76,5.41,0.22,2.81,69.11,5.54,3.51,112.5,100.0,0.17,0.16,86.58,73.1,287.87,4.47,48.84,11.16
2019,5,17,9,201.43,780.8,0.0,164.67,6.5,0.24,3.37,64.25,7.16,3.95,109.2,100.0,0.2,0.16,86.6,99.47,342.22,4.48,40.91,15.16
2019,5,17,10,260.17,858.65,13.74,211.54,7.35,0.19,3.77,60.35,9.17,4.26,109.9,99.9,0.24,0.16,86.62,127.72,376.93,4.46,34.97,19.49
2019,5,17,11,292.4,892.67,4.16,239.53,7.35,0.18,3.76,60.24,10.67,4.27,112.4,99.87,0.26,0.17,86.66,142.63,392.43,4.45,32.32,21.65
2019,5,17,12,320.5,877.4,0.0,262.43,6.64,0.45,3.55,64.55,10.22,3.96,114.0,100.0,0.29,0.17,86.69,154.62,386.29,4.54,33.82,23.44
2019,5,17,13,270.73,817.17,0.0,223.3,5.79,0.79,3.29,70.14,11.03,3.56,111.4,100.0,0.26,0.17,86.73,131.9,360.3,4.65,38.96,19.99
2019,5,17,14,253.57,714.45,33.15,208.19,5.13,1.0,3.07,74.56,12.61,3.18,107.0,99.02,0.28,0.17,86.76,123.15,315.43,4.72,46.44,18.55
2019,5,17,15,179.0,578.33,0.0,155.21,4.66,1.12,2.89,77.72,13.3,2.9,102.4,100.0,0.24,0.16,86.78,87.45,255.65,4.76,55.15,13.23
2019,5,17,16,117.88,419.42,0.0,102.58,4.23,1.21,2.72,80.61,13.39,2.7,98.5,100.0,0.2,0.19,86.8,56.95,185.36,4.79,64.36,8.56
2019,5,17,17,65.8,250.73,0.0,56.99,3.6,1.27,2.43,84.64,13.25,2.47,96.3,100.0,0.18,0.19,86.82,31.38,109.25,4.81,73.61,4.68
2019,5,17,18,25.65,93.78,0.0,22.41,2.76,1.32,2.04,90.23,12.47,2.09,91.9,100.0,0.15,0.18,86.86,11.75,38.42,4.83,82.52,1.73
2019,5,17,19,2.53,4.68,0.0,2.89,2.03,1.25,1.64,94.7,10.84,1.76,86.7,100.0,0.17,0.2,86.9,0.93,1.63,4.81,89.36,0.16
2019,5,17,20,0.0,0.0,0.0,0.0,1.56,0.93,1.24,95.52,9.09,1.74,85.7,99.57,-999.0,-999.0,86.91,0.0,0.0,4.69,90.0,0.0
2019,5,17,21,0.0,0.0,0.0,0.0,1.2,0.6,0.9,95.73,6.32,1.76,91.0,99.95,-999.0,-999.0,86.91,0.0,0.0,4.58,90.0,0.0
2019,5,17,22,0.0,0.0,0.0,0.0,0.96,0.4,0.68,96.12,4.3,1.82,102.1,99.72,-999.0,-999.0,86.9,0.0,0.0,4.52,90.0,0.0
2019,5,17,23,0.0,0.0,0.0,0.0,0.75,0.24,0.49,96.5,3.6,1.98,113.2,99.8,-999.0,-999.0,86.9,0.0,0.0,4.47,90.0,0.0
2019,5,18,0,0.0,0.0,0.0,0.0,0.46,0.05,0.26,97.24,3.41,2.16,122.9,99.81,-999.0,-999.0,86.91,0.0,0.0,4.41,90.0,0.0
2019,5,18,1,0.0,0.0,0.0,0.0,0.34,-0.1,0.12,97.0,6.0,2.38,126.0,99.66,-999.0,-999.0,86.92,0.0,0.0,4.36,90.0,0.0
2019,5,18,2,0.0,0.0,0.0,0.0,0.17,-0.25,-0.04,97.1,8.89,2.46,127.1,99.64,-999.0,-999.0,86.94,0.0,0.0,4.31,90.0,0.0
2019,5,18,3,0.0,0.0,0.0,0.0,0.07,-0.33,-0.13,97.38,9.37,2.39,125.8,99.89,-999.0,-999.0,86.96,0.0,0.0,4.29,90.0,0.0
2019,5,18,4,16.92,56.58,0.0,15.74,0.16,-0.31,-0.08,96.75,8.34,2.51,125.0,100.0,0.14,0.18,86.97,7.5,22.02,4.29,84.78,1.11
2019,5,18,5,45.85,202.55,0.0,40.14,0.51,-0.22,0.15,94.79,7.2,3.01,126.5,100.0,0.14,0.18,86.99,21.95,86.5,4.31,76.08,3.3
2019,5,18,6,89.18,372.73,0.0,77.72,0.88,-0.25,0.32,92.11,6.85,3.71,125.2,100.0,0.17,0.19,87.02,43.47,162.97,4.3,66.88,6.61
2019,5,18,7,146.88,539.28,0.0,127.88,1.1,-0.4,0.35,89.67,6.76,4.24,122.9,100.0,0.21,0.19,87.08,71.65,237.13,4.25,57.6,10.87
2019,5,18,8,208.45,685.95,0.0,176.79,1.45,-0.55,0.45,86.46,5.75,4.46,122.4,100.0,0.24,0.19,87.12,101.5,301.72,4.2,48.67,15.4
2019,5,18,9,259.33,801.83,0.0,212.01,2.02,-0.71,0.65,82.04,5.54,4.75,122.6,100.0,0.26,0.19,87.15,126.2,352.51,4.15,40.72,19.17
2019,5,18,10,310.33,877.83,0.0,249.58,2.41,-0.87,0.77,78.86,6.19,4.92,124.2,100.0,0.28,0.2,87.18,149.7,385.65,4.1,34.76,22.83
2019,5,18,11,307.8,910.5,0.22,252.92,2.64,-0.94,0.85,77.21,5.9,4.93,127.5,99.99,0.27,0.2,87.2,147.63,400.2,4.08,32.1,22.45
2019,5,18,12,306.35,896.0,9.68,249.08,3.68,-0.8,1.44,72.44,4.44,5.03,131.0,100.0,0.28,0.2,87.21,147.9,393.93,4.12,33.61,22.61
2019,5,18,13,335.25,833.88,29.15,271.45,5.3,-0.84,2.23,64.51,3.39,5.46,133.7,99.19,0.32,0.2,87.2,156.82,366.88,4.11,38.76,23.54
2019,5,18,14,221.12,730.47,39.22,173.55,5.9,-0.93,2.49,61.41,2.7,5.7,133.9,98.75,0.24,0.2,87.19,107.0,321.75,4.08,46.26,16.38
2019,5,18,15,211.3,592.65,0.15,183.17,5.62,-0.87,2.38,62.91,2.29,5.58,134.2,100.0,0.28,0.2,87.17,100.41,261.13,4.1,54.97,15.05
2019,5,18,16,172.52,431.85,91.11,131.54,4.97,-0.79,2.09,66.14,1.72,5.15,134.6,94.98,0.3,0.2,87.16,79.8,189.96,4.12,64.19,11.05
2019,5,18,17,110.28,262.3,53.08,86.31,4.17,-0.66,1.76,70.63,1.05,4.64,133.4,95.87,0.29,0.2,87.18,49.82,113.89,4.16,73.44,6.56
2019,5,18,18,42.78,102.47,32.92,35.92,3.07,-0.45,1.31,77.65,0.7,3.66,131.0,96.91,0.24,0.2,87.21,18.48,41.93,4.23,82.34,2.4
2019,5,18,19,3.3,5.88,11.92,4.41,1.85,-0.31,0.77,85.54,0.61,2.76,131.6,95.33,0.2,0.2,87.25,1.17,1.87,4.27,89.28,0.19
2019,5,18,20,0.0,0.0,0.0,0.0,0.91,-0.31,0.3,91.54,0.53,2.23,139.4,94.77,-999.0,-999.0,87.28,0.0,0.0,4.27,90.0,0.0
2019,5,18,21,0.0,0.0,0.0,0.0,-0.1,-0.53,-0.32,96.98,0.38,1.96,148.3,95.64,-999.0,-999.0,87.28,0.0,0.0,4.2,90.0,0.0
2019,5,18,22,0.0,0.0,0.0,0.0,-1.17,-0.76,-0.96,100.0,0.6,1.91,156.9,97.91,-999.0,-999.0,87.27,0.0,0.0,4.13,90.0,0.0
2019,5,18,23,0.0,0.0,0.0,0.0,-1.93,-0.95,-1.44,100.0,0.34,1.9,162.9,99.01,-999.0,-999.0,87.25,0.0,0.0,4.08,90.0,0.0
2019,5,19,0,0.0,0.0,0.0,0.0,-2.47,-1.14,-1.8,100.0,0.2,1.87,166.4,80.79,-999.0,-999.0,87.23,0.0,0.0,4.02,90.0,0.0
2019,5,19,1,0.0,0.0,0.0,0.0,-2.56,-1.31,-1.93,100.0,0.15,1.71,163.4,99.28,-999.0,-999.0,87.21,0.0,0.0,3.97,90.0,0.0
2019,5,19,2,0.0,0.0,0.0,0.0,-2.52,-1.48,-2.0,100.0,0.19,1.54,150.4,96.02,-999.0,-999.0,87.19,0.0,0.0,3.92,90.0,0.0
2019,5,19,3,0.0,0.0,0.0,0.0,-2.76,-1.74,-2.25,100.0,0.28,1.66,136.5,94.27,-999.0,-999.0,87.18,0.0,0.0,3.85,90.0,0.0
2019,5,19,4,38.97,67.8,121.07,30.87,-1.94,-1.87,-1.9,100.0,0.29,1.89,130.9,87.93,0.31,0.23,87.18,15.35,25.35,3.81,84.59,1.94
2019,5,19,5,130.0,222.77,273.68,77.92,0.67,-1.39,-0.36,85.85,0.23,2.47,125.4,79.17,0.4,0.31,87.17,54.2,92.66,3.94,75.92,6.65
2019,5,19,6,234.68,393.7,402.58,105.88,2.77,-1.86,0.46,71.41,0.3,3.65,129.3,70.2,0.45,0.21,87.15,99.83,167.55,3.81,66.72,12.72
2019,5,19,7,355.58,562.42,618.94,88.79,4.25,-2.28,0.98,62.3,0.66,4.42,129.7,61.31,0.5,0.23,87.15,151.67,241.52,3.69,57.44,20.22
2019,5,19,8,366.75,707.22,563.2,126.87,5.57,-2.73,1.42,54.83,0.91,5.21,128.6,87.29,0.42,0.14,87.16,155.7,303.77,3.56,48.5,22.39
2019,5,19,9,472.0,821.4,424.58,238.59,6.79,-3.06,1.86,49.12,0.99,5.86,127.9,89.54,0.47,0.14,87.16,206.03,352.75,3.47,40.54,29.73
2019,5,19,10,543.97,899.45,384.42,299.59,7.84,-3.39,2.23,44.66,0.96,6.21,128.8,93.88,0.5,0.21,87.16,233.93,386.63,3.39,34.56,34.08
2019,5,19,11,542.42,932.78,838.36,204.04,8.76,-3.7,2.53,40.97,0.81,6.29,130.2,96.27,0.48,0.21,87.16,221.46,401.52,3.31,31.89,32.49
2019,5,19,12,538.83,915.47,520.08,293.37,9.48,-3.92,2.78,38.31,0.56,6.14,131.2,97.84,0.49,0.2,87.15,227.68,393.55,3.25,33.4,33.41
2019,5,19,13,514.62,852.0,720.36,195.18,9.92,-4.11,2.9,36.73,0.28,5.75,131.6,93.11,0.5,0.22,87.12,212.53,366.05,3.21,38.57,30.26
2019,5,19,14,454.65,744.33,589.39,166.79,10.05,-4.45,2.8,35.37,0.11,5.33,130.1,81.89,0.49,0.15,87.07,194.47,319.35,3.12,46.08,27.39
2019,5,19,15,368.27,604.78,497.8,149.24,9.85,-4.9,2.47,34.57,0.03,4.97,127.4,80.03,0.48,0.15,87.03,157.63,259.07,3.01,54.8,21.39
2019,5,19,16,213.65,442.5,378.33,87.48,9.25,-5.16,2.05,35.28,0.01,4.64,125.3,76.64,0.37,0.19,87.02,91.64,188.58,2.95,64.02,12.15
2019,5,19,17,144.32,272.1,286.39,60.34,8.23,-5.12,1.55,37.93,0.0,4.1,124.3,68.22,0.38,0.33,87.03,60.25,113.87,2.96,73.27,7.26
2019,5,19,18,70.45,108.1,311.49,30.74,5.54,-2.98,1.28,54.1,0.0,2.36,126.0,54.62,0.39,0.35,87.05,27.83,42.13,3.51,82.17,3.1
2019,5,19,19,5.68,6.7,59.2,5.9,1.39,-2.59,-0.6,74.62,0.0,2.35,127.4,30.44,0.31,0.25,87.07,1.78,2.02,3.61,89.2,0.25
2019,5,19,20,0.0,0.0,0.0,0.0,0.42,-3.18,-1.38,76.5,0.01,2.65,127.3,18.16,-999.0,-999.0,87.09,0.0,0.0,3.45,90.0,0.0
2019,5,19,21,0.0,0.0,0.0,0.0,0.07,-3.52,-1.73,76.42,0.02,2.74,129.7,13.36,-999.0,-999.0,87.08,0.0,0.0,3.36,90.0,0.0
2019,5,19,22,0.0,0.0,0.0,0.0,-0.11,-3.75,-1.93,75.89,0.0,2.77,133.1,17.79,-999.0,-999.0,87.07,0.0,0.0,3.29,90.0,0.0
2019,5,19,23,0.0,0.0,0.0,0.0,-0.23,-4.0,-2.11,75.24,0.0,2.82,137.4,22.01,-999.0,-999.0,87.05,0.0,0.0,3.23,90.0,0.0
2019,5,20,0,0.0,0.0,0.0,0.0,-0.89,-4.12,-2.51,78.7,0.0,2.7,142.4,33.63,-999.0,-999.0,87.03,0.0,0.0,3.2,90.0,0.0
2019,5,20,1,0.0,0.0,0.0,0.0,-1.65,-3.94,-2.8,85.12,0.0,2.51,149.3,6.76,-999.0,-999.0,87.01,0.0,0.0,3.25,90.0,0.0
2019,5,20,2,0.0,0.0,0.0,0.0,-2.17,-3.73,-2.95,90.5,0.0,2.4,157.2,5.72,-999.0,-999.0,86.97,0.0,0.0,3.31,90.0,0.0
2019,5,20,3,0.0,0.0,0.0,0.0,-2.94,-3.69,-3.32,96.5,0.0,2.42,163.4,3.34,-999.0,-999.0,86.94,0.0,0.0,3.31,90.0,0.0
2019,5,20,4,64.65,67.53,325.53,29.48,-1.71,-3.09,-2.4,91.21,0.0,2.13,167.8,12.45,0.5,0.38,86.9,23.61,24.45,3.47,84.4,2.57
2019,5,20,5,202.88,224.57,608.51,64.12,1.83,-2.51,-0.34,72.54,0.0,2.59,161.6,25.09,0.62,0.54,86.88,82.6,91.8,3.63,75.77,9.1
2019,5,20,6,370.45,397.58,746.76,79.9,4.34,-2.88,0.73,59.04,0.02,3.92,139.0,15.2,0.7,0.52,86.87,155.77,167.65,3.53,66.57,18.64
2019,5,20,7,518.97,567.22,829.03,95.9,5.51,-3.21,1.15,53.03,0.07,4.77,127.6,19.08,0.72,0.51,86.88,220.09,242.17,3.44,57.29,28.31
2019,5,20,8,556.97,714.17,714.23,134.23,6.15,-3.39,1.38,50.0,0.2,5.17,122.1,44.37,0.63,0.43,86.88,235.13,306.27,3.39,48.34,31.94
2019,5,20,9,482.4,822.22,495.37,163.5,6.72,-3.21,1.75,48.78,0.97,5.41,120.2,64.58,0.48,0.26,86.88,208.78,352.35,3.44,40.37,29.37
2019,5,20,10,469.83,888.12,613.44,190.28,7.48,-2.9,2.29,47.5,1.44,5.61,120.3,94.04,0.43,0.21,86.87,189.1,379.62,3.53,34.37,27.4
2019,5,20,11,398.3,931.6,216.62,281.34,8.07,-2.66,2.71,46.39,1.69,5.63,121.5,99.46,0.35,0.21,86.85,176.73,401.45,3.59,31.68,26.75
2019,5,20,12,301.12,910.88,39.66,226.58,8.64,-2.5,3.07,45.23,1.51,5.54,123.8,98.73,0.27,0.2,86.82,139.85,392.58,3.64,33.19,21.7
2019,5,20,13,305.2,845.62,8.18,250.41,8.77,-2.36,3.21,45.32,1.46,5.39,126.0,100.0,0.29,0.2,86.79,141.88,364.78,3.68,38.38,21.66
2019,5,20,14,256.23,738.38,6.56,213.19,8.59,-2.23,3.18,46.36,1.52,5.24,127.9,100.0,0.28,0.2,86.77,118.52,318.53,3.72,45.9,18.02
2019,5,20,15,228.27,595.78,216.82,165.94,8.24,-2.04,3.1,48.1,1.07,5.02,129.6,100.0,0.3,0.21,86.75,98.17,256.53,3.77,54.63,14.08
2019,5,20,16,104.9,431.4,43.99,80.41,7.65,-1.89,2.88,50.72,0.61,4.68,131.3,97.35,0.18,0.2,86.74,49.23,184.7,3.82,63.86,7.34
2019,5,20,17,64.22,261.67,68.96,46.7,6.76,-1.68,2.54,54.76,0.35,4.07,133.6,94.6,0.17,0.21,86.74,29.6,110.1,3.88,73.1,4.2
2019,5,20,18,31.95,102.78,69.55,23.97,5.17,-0.65,2.26,66.01,0.39,2.41,137.2,89.96,0.17,0.22,86.75,13.9,40.57,4.19,82.0,1.88
2019,5,20,19,3.83,6.78,13.94,5.34,2.42,0.48,1.45,87.17,0.28,1.53,152.4,79.17,0.19,0.21,86.74,1.38,2.22,4.56,89.12,0.22
2019,5,20,20,0.0,0.0,0.0,0.0,1.72,0.2,0.96,89.62,0.24,1.45,173.3,73.83,-999.0,-999.0,86.72,0.0,0.0,4.46,90.0,0.0
2019,5,20,21,0.0,0.0,0.0,0.0,1.19,-0.2,0.49,90.36,0.19,1.47,189.4,69.63,-999.0,-999.0,86.7,0.0,0.0,4.33,90.0,0.0
2019,5,20,22,0.0,0.0,0.0,0.0,0.51,-0.65,-0.07,91.82,0.31,1.5,193.5,71.68,-999.0,-999.0,86.67,0.0,0.0,4.19,90.0,0.0
2019,5,20,23,0.0,0.0,0.0,0.0,0.17,-0.98,-0.4,91.84,0.26,1.64,190.9,88.15,-999.0,-999.0,86.64,0.0,0.0,4.09,90.0,0.0
2019,5,21,0,0.0,0.0,0.0,0.0,-0.2,-1.09,-0.65,93.59,0.3,1.78,171.0,83.96,-999.0,-999.0,86.62,0.0,0.0,4.05,90.0,0.0
2019,5,21,1,0.0,0.0,0.0,0.0,-0.4,-1.09,-0.75,95.37,0.44,1.9,152.4,79.58,-999.0,-999.0,86.61,0.0,0.0,4.06,90.0,0.0
2019,5,21,2,0.0,0.0,0.0,0.0,-0.3,-0.87,-0.58,96.2,1.43,1.87,140.2,70.39,-999.0,-999.0,86.6,0.0,0.0,4.13,90.0,0.0
2019,5,21,3,0.0,0.0,0.0,0.0,-0.1,-0.55,-0.32,96.89,2.79,1.7,130.5,88.68,-999.0,-999.0,86.58,0.0,0.0,4.23,90.0,0.0
2019,5,21,4,22.33,67.65,50.46,18.28,0.61,0.18,0.39,96.93,3.22,1.32,115.6,95.02,0.17,0.2,86.59,9.59,26.02,4.46,84.21,1.35
2019,5,21,5,49.2,215.02,26.35,41.46,2.2,1.05,1.62,92.09,3.08,1.7,108.1,99.72,0.15,0.19,86.61,23.12,90.47,4.75,75.62,3.36
2019,5,21,6,106.9,382.23,53.89,85.01,3.6,1.91,2.75,88.83,3.59,2.31,105.8,97.23,0.2,0.2,86.63,50.07,164.48,5.06,66.43,7.29
2019,5,21,7,153.55,544.25,18.44,130.49,5.08,2.21,3.65,81.66,5.52,3.21,101.1,100.0,0.21,0.2,86.65,72.87,235.53,5.16,57.14,10.92
2019,5,21,8,204.2,689.15,24.89,169.2,6.36,1.87,4.11,73.0,7.29,3.68,98.3,100.0,0.23,0.2,86.66,97.1,299.0,5.04,48.19,14.65
2019,5,21,9,198.98,804.6,1.1,163.44,7.56,1.66,4.61,66.18,6.91,3.97,95.6,100.0,0.2,0.19,86.68,97.45,349.8,4.96,40.2,14.93
2019,5,21,10,253.4,884.62,142.5,172.55,8.82,1.67,5.24,60.76,6.2,4.2,94.6,98.82,0.23,0.2,86.7,119.85,385.3,4.96,34.18,18.19
2019,5,21,11,314.42,918.92,255.42,186.44,9.97,1.88,5.92,57.03,5.63,4.43,95.1,98.62,0.28,0.2,86.72,141.77,400.5,5.03,31.48,20.8
2019,5,21,12,231.57,900.1,133.45,138.51,10.8,2.16,6.48,55.14,5.32,4.73,95.0,96.94,0.21,0.19,86.73,111.58,392.65,5.14,32.99,16.92
2019,5,21,13,175.02,834.7,16.08,141.65,10.99,2.43,6.71,55.51,5.28,4.8,93.3,100.0,0.17,0.19,86.74,86.7,364.32,5.24,38.19,13.5
2019,5,21,14,132.02,729.4,41.66,99.99,10.55,2.64,6.6,57.95,5.09,4.71,90.5,98.46,0.14,0.18,86.77,67.07,318.42,5.31,45.73,10.41
2019,5,21,15,84.9,591.9,28.91,66.95,9.68,2.78,6.23,62.03,5.51,4.4,87.7,98.87,0.11,0.18,86.81,44.03,258.35,5.36,54.47,6.88
2019,5,21,16,361.38,430.75,487.95,152.9,8.49,2.83,5.66,67.5,6.35,3.93,84.0,45.55,0.61,0.21,86.86,158.86,187.22,5.38,63.7,20.17
2019,5,21,17,205.98,262.27,432.49,88.85,7.18,2.96,5.07,74.41,5.85,3.3,79.2,45.88,0.53,0.22,86.93,89.54,112.65,5.42,72.94,10.66
2019,5,21,18,58.2,104.05,148.72,37.22,5.77,3.3,4.54,84.04,4.3,2.19,68.8,71.87,0.31,0.22,87.0,24.6,42.25,5.55,81.83,3.05
2019,5,21,19,1.92,7.25,2.69,2.2,4.47,3.51,3.99,93.55,2.99,1.49,50.7,99.26,0.09,0.2,87.05,0.77,2.47,5.64,89.04,0.13
2019,5,21,20,0.0,0.0,0.0,0.0,4.12,3.48,3.8,95.78,3.94,1.36,58.0,99.76,-999.0,-999.0,87.11,0.0,0.0,5.63,90.0,0.0
2019,5,21,21,0.0,0.0,0.0,0.0,3.99,3.47,3.73,96.55,2.38,1.31,68.9,100.0,-999.0,-999.0,87.17,0.0,0.0,5.62,90.0,0.0
2019,5,21,22,0.0,0.0,0.0,0.0,3.65,3.27,3.46,97.5,12.92,1.36,67.6,100.0,-999.0,-999.0,87.18,0.0,0.0,5.54,90.0,0.0
2019,5,21,23,0.0,0.0,0.0,0.0,3.27,3.03,3.15,98.37,5.94,1.42,76.2,99.75,-999.0,-999.0,87.2,0.0,0.0,5.44,90.0,0.0
2019,5,22,0,0.0,0.0,0.0,0.0,3.03,2.8,2.92,98.24,3.52,1.28,86.4,99.78,-999.0,-999.0,87.21,0.0,0.0,5.34,90.0,0.0
2019,5,22,1,0.0,0.0,0.0,0.0,3.36,2.73,3.04,95.63,1.64,0.51,107.0,100.0,-999.0,-999.0,87.23,0.0,0.0,5.32,90.0,0.0
2019,5,22,2,0.0,0.0,0.0,0.0,3.16,2.55,2.85,95.74,0.62,0.45,262.4,97.42,-999.0,-999.0,87.24,0.0,0.0,5.25,90.0,0.0
2019,5,22,3,0.0,0.0,0.0,0.0,2.57,2.26,2.42,97.77,0.19,1.07,282.5,86.99,-999.0,-999.0,87.26,0.0,0.0,5.14,90.0,0.0
2019,5,22,4,44.6,68.65,115.12,37.17,2.75,2.5,2.62,98.22,0.06,1.18,290.9,86.63,0.32,0.2,87.28,18.15,26.83,5.23,84.03,2.25
2019,5,22,5,164.3,215.52,294.19,95.93,4.31,3.2,3.76,92.52,0.01,1.6,294.0,87.83,0.49,0.18,87.29,70.4,91.7,5.5,75.48,8.32
2019,5,22,6,290.12,384.33,357.41,168.28,6.39,3.38,4.89,81.09,0.0,0.83,289.1,92.77,0.54,0.19,87.31,126.25,166.85,5.57,66.29,16.09
2019,5,22,7,423.08,548.33,547.01,233.18,9.37,2.49,5.93,62.18,0.04,0.86,107.6,96.16,0.59,0.19,87.34,184.85,238.92,5.23,57.0,24.76
2019,5,22,8,519.17,690.47,587.4,225.35,11.54,1.88,6.71,51.45,0.22,2.12,102.0,83.82,0.58,0.13,87.37,227.75,300.12,5.0,48.04,31.37
2019,5,22,9,685.2,804.38,554.21,304.5,12.75,1.89,7.32,47.52,0.72,2.71,103.0,69.87,0.67,0.13,87.39,301.25,349.33,5.0,40.04,41.47
2019,5,22,10,737.97,878.17,653.34,232.42,13.47,1.99,7.73,45.7,1.25,2.91,108.4,53.36,0.67,0.14,87.39,322.05,380.78,5.04,34.0,44.6
2019,5,22,11,696.9,906.03,528.78,299.23,14.07,1.98,8.02,43.86,1.31,2.82,114.9,74.6,0.61,0.15,87.39,304.52,392.3,5.03,31.28,43.07
2019,5,22,12,658.53,894.33,581.43,244.72,14.66,1.92,8.29,42.04,0.8,2.55,119.6,73.45,0.59,0.15,87.38,287.93,387.85,5.01,32.8,40.94
2019,5,22,13,574.08,832.22,493.92,276.04,15.14,1.86,8.5,40.59,0.3,2.28,121.2,90.06,0.55,0.19,87.35,249.63,361.75,4.99,38.01,35.76
2019,5,22,14,500.05,727.92,562.38,229.79,15.52,1.77,8.65,39.36,0.11,2.11,120.5,89.07,0.54,0.19,87.32,217.5,316.97,4.96,45.56,30.67
2019,5,22,15,402.62,588.05,492.29,179.57,15.47,1.65,8.56,39.15,0.05,2.02,121.0,73.4,0.52,0.14,87.28,177.13,255.92,4.92,54.31,24.12
2019,5,22,16,245.57,426.42,271.25,140.63,14.92,1.55,8.23,40.22,0.02,1.97,124.7,80.49,0.42,0.12,87.27,108.8,184.9,4.88,63.54,14.56
2019,5,22,17,143.18,258.52,161.03,96.47,13.67,2.94,8.3,48.43,0.0,1.59,131.2,86.61,0.36,0.21,87.27,62.57,110.67,5.42,72.78,8.14
2019,5,22,18,80.7,101.57,144.94,62.46,10.75,5.88,8.32,71.87,0.0,1.45,147.4,84.83,0.42,0.21,87.29,33.88,40.99,6.64,81.66,4.09
2019,5,22,19,6.5,7.43,6.65,8.92,8.2,3.6,5.9,72.68,0.0,2.06,167.4,93.9,0.27,0.2,87.33,2.45,2.63,5.65,88.95,0.36
2019,5,22,20,0.0,0.0,0.0,0.0,6.94,2.91,4.92,75.46,0.0,2.12,188.7,99.9,-999.0,-999.0,87.35,0.0,0.0,5.38,90.0,0.0
2019,5,22,21,0.0,0.0,0.0,0.0,6.09,2.6,4.35,78.25,0.0,2.43,207.2,71.99,-999.0,-999.0,87.37,0.0,0.0,5.26,90.0,0.0
2019,5,22,22,0.0,0.0,0.0,0.0,5.47,2.18,3.82,79.2,0.0,2.6,219.7,77.45,-999.0,-999.0,87.37,0.0,0.0,5.1,90.0,0.0
